,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PBX1,2024.513177,-10.92805068,0.938955247,-11.63852133,2.63E-31,4.82E-27
MYCT1,2264.812894,-11.09101497,1.204468483,-9.20822348,3.32E-20,3.04E-16
MECOM,954.8645971,-10.55221646,1.192860888,-8.846141712,9.06E-19,5.54E-15
HLF,1379.40315,-12.70497095,1.461490589,-8.693159604,3.52E-18,1.62E-14
PRKG2,1469.056812,-11.76027454,1.370740497,-8.579504701,9.53E-18,3.50E-14
TIMP3,583.4067954,-11.47439794,1.348970547,-8.506040372,1.80E-17,5.50E-14
TMEM246,684.4434757,-10.78779436,1.271578484,-8.483781771,2.18E-17,5.71E-14
GPR126,1822.250828,-10.21923271,1.211353195,-8.436212288,3.28E-17,7.52E-14
SERPINA1,2915.788523,11.06504414,1.340398757,8.255039096,1.52E-16,3.10E-13
CALN1,709.1309288,-9.683581977,1.18376349,-8.180335056,2.83E-16,5.19E-13
PLS3,481.1484785,-12.16926619,1.549209704,-7.855144568,3.99E-15,6.66E-12
PLOD2,642.1627251,-11.59599552,1.518808723,-7.634928179,2.26E-14,3.27E-11
FAT4,498.4020018,-11.23458415,1.473913572,-7.6222815,2.49E-14,3.27E-11
SEMA6B,22.40428537,21.63990889,2.838905552,7.622623752,2.49E-14,3.27E-11
ZNF462,455.7480488,-12.09099317,1.592479609,-7.592557604,3.14E-14,3.60E-11
MAGI2-AS3,487.8191039,-12.18922799,1.603819068,-7.60012662,2.96E-14,3.60E-11
CRHBP,3878.975176,-9.48332621,1.254576053,-7.558988704,4.06E-14,4.38E-11
PREX2,985.7704203,-12.205566,1.619160154,-7.538207984,4.76E-14,4.86E-11
CHRM3,658.2153023,-8.750690024,1.171869049,-7.467293408,8.19E-14,7.91E-11
FGD5,253.2828367,-11.24317707,1.513758507,-7.427325441,1.11E-13,1.02E-10
TNIP3,17.73672592,21.31211488,2.878128064,7.404852879,1.31E-13,1.15E-10
SKAP1,368.1095913,-8.13482142,1.102197088,-7.38055064,1.58E-13,1.31E-10
TAL1,1333.181113,-8.417493155,1.144314624,-7.355925528,1.90E-13,1.51E-10
FCN1,1240.110552,13.97850262,1.907010388,7.330061077,2.30E-13,1.76E-10
ACPP,645.4456022,12.02427417,1.647529518,7.298366459,2.91E-13,2.14E-10
HEMGN,1551.751106,-8.635197646,1.185162498,-7.286087484,3.19E-13,2.25E-10
CD86,912.6553674,13.53605236,1.861617274,7.271125245,3.57E-13,2.42E-10
CCR1,2558.810242,11.83268725,1.630515051,7.257024243,3.96E-13,2.59E-10
S100A8,3720.908767,10.69834986,1.479751139,7.229830456,4.84E-13,3.06E-10
BAALC,260.0914965,-6.471620027,0.896846749,-7.215970882,5.36E-13,3.28E-10
TC2N,203.8672445,-9.994351943,1.391207508,-7.183940487,6.77E-13,3.88E-10
FBN1,475.2980391,-5.685995193,0.791027591,-7.188112346,6.57E-13,3.88E-10
LIMCH1,594.9626732,-10.03458264,1.407480699,-7.129463758,1.01E-12,5.46E-10
CCR5,674.1687311,10.26765182,1.440285614,7.128899799,1.01E-12,5.46E-10
SIRPB1,1742.019822,10.05535668,1.412318275,7.11975258,1.08E-12,5.67E-10
RNASE6,1610.935194,8.680252067,1.22194185,7.103653964,1.22E-12,6.19E-10
LILRA1,1804.176531,8.81072825,1.247989449,7.059938092,1.67E-12,8.26E-10
MPDZ,504.9645698,-10.34227651,1.468927563,-7.040698787,1.91E-12,9.24E-10
ST6GAL2,282.1649683,-10.46835027,1.505552345,-6.953162608,3.57E-12,1.65E-09
PCYT1B,120.3383648,-10.16903984,1.462753422,-6.951984993,3.60E-12,1.65E-09
NFIB,294.69351,-10.47272599,1.507850976,-6.945464873,3.77E-12,1.69E-09
NAP1L3,279.5008958,-10.39639789,1.506789558,-6.899701309,5.21E-12,2.28E-09
CYYR1,313.6776451,-8.891885558,1.292715383,-6.878455747,6.05E-12,2.57E-09
CD1D,787.6102348,10.05116391,1.461860477,6.875597278,6.17E-12,2.57E-09
EGLN3,251.3219917,-10.24369903,1.491218606,-6.869347653,6.45E-12,2.63E-09
